,Country,Year,Week,Start date,End date,TempMax,TempMIN,PRCP_mm,GoogleTrendsFever,GoogleTrendsFatigue,GoogleTrendsChickenpox,GoogleTrendsRubella,GoogleTrendsSmallpoxVaccine,GoogleTrendsInfertility,GoogleTrendsCampylobacter,GoogleTrendsTyphoidFever,GoogleTrendsVomit,GoogleTrendsVaccine,TotalFluSympPatients,TotalFluPositiveVirusPatients
237,Germany,2019,25,6/17/2019,6/23/2019,21,10,2.61,39,,39.0,68.0,1,37.0,24.0,36.0,12,16,26.0,0.0
238,Germany,2019,26,6/24/2019,6/30/2019,24,10,0.54,39,,43.0,67.0,1,42.0,43.0,24.0,9,15,24.0,0.0
239,Germany,2019,27,7/1/2019,7/7/2019,29,14,3.39,35,,41.0,59.0,1,47.0,24.0,33.0,14,14,125.0,4.0
240,Germany,2019,28,7/8/2019,7/14/2019,29,15,9.0,37,,43.0,63.0,1,40.0,35.0,31.0,13,15,25.0,2.0
241,Germany,2019,29,7/15/2019,7/21/2019,28,15,0.46,37,,41.0,76.0,1,46.0,31.0,31.0,11,9,22.0,0.0
242,Germany,2019,30,7/22/2019,7/28/2019,32,15,0.0,36,,43.0,64.0,1,42.0,54.0,28.0,8,14,22.0,1.0
243,Germany,2019,31,7/29/2019,8/4/2019,22,12,0.54,35,,46.0,71.0,1,40.0,33.0,31.0,9,12,10.0,1.0
244,Germany,2019,32,8/5/2019,8/11/2019,23,12,1.57,32,,46.0,76.0,0,36.0,90.0,33.0,12,13,22.0,0.0
245,Germany,2019,33,8/12/2019,8/18/2019,25,13,2.5,33,,52.0,82.0,0,33.0,56.0,28.0,9,10,19.0,0.0
246,Germany,2019,34,8/19/2019,8/25/2019,30,16,0.0,37,,52.0,70.0,1,36.0,23.0,22.0,9,12,8.0,0.0
247,Germany,2019,35,8/26/2019,9/1/2019,27,16,10.32,34,,50.0,77.0,1,34.0,35.0,26.0,7,12,16.0,0.0
248,Germany,2019,36,9/2/2019,9/8/2019,27,15,1.11,35,,46.0,60.0,1,30.0,15.0,20.0,12,13,21.0,0.0
249,Germany,2019,37,9/9/2019,9/15/2019,24,13,1.29,36,,49.0,62.0,1,34.0,19.0,26.0,11,15,30.0,1.0
250,Germany,2019,38,9/16/2019,9/22/2019,27,12,0.04,36,,45.0,59.0,1,29.0,30.0,41.0,11,10,36.0,0.0
251,Germany,2019,39,9/23/2019,9/29/2019,32,18,0.0,37,,52.0,68.0,1,36.0,31.0,29.0,12,12,,
252,Germany,2019,40,9/30/2019,10/6/2019,22,9,0.25,38,,49.0,72.0,0,34.0,37.0,29.0,15,16,38.0,1.0
253,Germany,2019,41,10/7/2019,10/13/2019,20,9,1.96,40,,46.0,83.0,1,33.0,37.0,21.0,9,14,76.0,2.0
254,Germany,2019,42,10/14/2019,10/20/2019,18,7,0.89,40,,54.0,56.0,1,35.0,27.0,22.0,11,13,84.0,5.0
255,Germany,2019,43,10/21/2019,10/27/2019,18,11,5.79,37,,48.0,62.0,1,41.0,33.0,28.0,13,13,66.0,0.0
256,Germany,2019,44,10/28/2019,11/3/2019,14,6,4.96,41,,45.0,66.0,1,35.0,28.0,19.0,11,16,64.0,0.0
257,Germany,2019,45,11/4/2019,11/10/2019,16,8,0.71,42,,45.0,73.0,1,27.0,36.0,22.0,13,15,103.0,2.0
258,Germany,2019,46,11/11/2019,11/17/2019,19,10,2.04,43,,48.0,63.0,1,41.0,35.0,23.0,12,15,93.0,1.0
259,Germany,2019,47,11/18/2019,11/24/2019,17,8,0.25,40,,47.0,62.0,0,35.0,55.0,28.0,12,11,98.0,1.0
260,Germany,2019,48,11/25/2019,12/1/2019,10,1,0.89,40,,,,,,,,12,11,111.0,7.0
261,Germany,2019,49,12/2/2019,12/8/2019,10,5,1.93,45,,,,,,,,14,13,108.0,6.0
262,Germany,2019,50,12/9/2019,12/15/2019,8,2,0.39,48,,,,,,,,11,13,102.0,10.0
263,Germany,2019,51,12/16/2019,12/22/2019,8,5,1.93,50,,,,,,,,10,8,97.0,12.0
264,Germany,2019,52,12/23/2019,12/29/2019,7,3,0.75,43,,,,,,,,12,10,27.0,5.0
265,Germany,2020,1,12/30/2019,1/5/2020,7,1,1.18,43,,,,,,,,13,12,62.0,8.0
266,Germany,2020,2,1/6/2020,1/12/2020,6,1,1.57,49,,,,,,,,8,15,126.0,36.0
267,Germany,2020,3,1/13/2020,1/19/2020,9,2,0.46,58,,,,,,,,11,13,158.0,49.0
268,Germany,2020,4,1/20/2020,1/26/2020,5,2,1.36,78,,,,,,,,12,30,204.0,82.0
269,Germany,2020,5,1/27/2020,2/2/2020,7,3,0.0,82,,,,,,,,11,21,270.0,129.0
